Compartment,Instance,Managed Instance Group,Lifecycle Environment,Lifecycle Stage,Location,OS Version,Security Updates Up To Date,Security Advisory/Update Count,Available Security Advisories/Updates,Bugfix Updates Up To Date,Bugfix Advisory/Update Count,Available Bugfix Advisories/Updates,Status,Last Check-In Time
CompA,Rapid7IDR-fluent-bit-TCPPORT,oracle-linux-8-x86_64-grp,-,-,OCI_COMPUTE,ORACLE_LINUX_8,NO,74,"ELSA-2024-2987,ELSA-2024-1610,ELSA-2024-0889,ELSA-2024-4249,ELSA-2024-6989,ELSA-2024-1615,ELSA-2024-0965,ELSA-2024-5654,ELSA-2024-4247,ELSA-2024-6987,ELSA-2024-6986,ELSA-2024-4241,ELSA-2024-5299,ELSA-2024-5530,ELSA-2024-6422,ELSA-2024-3233,ELSA-2024-5294,ELSA-2024-3271,ELSA-2024-3270,ELSA-2024-1607,ELSA-2024-12433,ELSA-2024-12797,ELSA-2024-5309,ELSA-2024-0897,ELSA-2024-3128,ELSA-2024-1902,ELSA-2024-6837,ELSA-2024-7848,ELSA-2024-3166,ELSA-2024-4256,ELSA-2024-8856,ELSA-2024-3163,ELSA-2024-1784,ELSA-2024-4252,ELSA-2024-3203,ELSA-2024-1782,ELSA-2024-5101,ELSA-2024-4211,ELSA-2024-7000,ELSA-2024-12169,ELSA-2024-12164,ELSA-2024-2722,ELSA-2024-3139,ELSA-2024-3138,ELSA-2024-3618,ELSA-2024-5312,ELSA-2024-4620,ELSA-2024-1751,ELSA-2024-3214,ELSA-2024-4264,ELSA-2024-3178,ELSA-2024-4260,ELSA-2024-8860,ELSA-2024-1601,ELSA-2024-3667,ELSA-2024-3347,ELSA-2024-2973,ELSA-2024-12618,ELSA-2024-3626,ELSA-2024-3341,ELSA-2024-3264,ELSA-2024-6975,ELSA-2024-5524,ELSA-2024-3269,ELSA-2024-3268,ELSA-2024-4231,ELSA-2024-8831,ELSA-2024-3102,ELSA-2024-3344,ELSA-2024-12580,ELSA-2024-3184,ELSA-2024-12266,ELSA-2024-12385,ELSA-2024-12187",NO,248,"ELBA-2024-12416,ELBA-2024-3159,ELBA-2024-28320,ELBA-2024-3158,ELBA-2024-3157,ELBA-2024-24761,ELBA-2024-3156,ELBA-2024-3155,ELBA-2024-22218,ELBA-2024-3154,ELBA-2024-3274,ELBA-2024-3153,ELBA-2024-3031,ELBA-2024-3152,ELBA-2024-4250,ELBA-2024-3151,ELBA-2024-3272,ELBA-2024-21003,ELBA-2024-3161,ELBA-2024-8841,ELBA-2024-12413,ELBA-2024-2998,ELBA-2024-19181,ELBA-2024-2993,ELBA-2024-3169,ELBA-2024-2992,ELBA-2024-3167,ELBA-2024-3164,ELBA-2024-3042,ELBA-2024-4261,ELBA-2024-3162,ELBA-2024-6680,ELBA-2024-3172,ELBA-2024-4251,ELBA-2024-3171,ELBA-2024-4253,ELBA-2024-4255,ELBA-2024-8855,ELBA-2024-8854,ELBA-2024-12541,ELBA-2024-12543,ELBA-2024-19977,ELBA-2024-12544,ELBA-2024-2967,ELBA-2021-16045,ELBA-2024-2964,ELBA-2024-3018,ELBA-2024-3016,ELBA-2024-3136,ELBA-2024-3135,ELBA-2022-14516,ELBA-2022-14515,ELBA-2024-3011,ELBA-2022-7600,ELBA-2024-3381,ELBA-2024-5310,ELBA-2024-5311,ELBA-2024-12790,ELBA-2024-4229,ELBA-2024-12554,ELBA-2024-12553,ELBA-2024-12556,ELBA-2024-12434,ELBA-2024-12555,ELBA-2024-8829,ELBA-2024-2977,ELBA-2021-16036,ELBA-2024-3029,ELBA-2024-3148,ELBA-2024-3146,ELBA-2024-3144,ELBA-2024-3023,ELBA-2024-3143,ELBA-2024-27800,ELBA-2024-3142,ELBA-2024-3262,ELBA-2024-3141,ELBA-2024-3140,ELBA-2024-3150,ELBA-2024-4230,ELBA-2024-4234,ELBA-2024-4236,ELBA-2024-12563,ELBA-2024-12322,ELBA-2024-12201,ELBA-2024-12203,ELBA-2021-14082,ELBA-2024-12615,ELBA-2021-16145,ELBA-2024-3198,ELBA-2024-3197,ELBA-2019-3337,ELBA-2024-4049,ELBA-2024-12176,ELBA-2024-19803,ELBA-2024-12178,ELBA-2024-12179,ELBA-2021-16030,ELBA-2024-25242,ELBA-2024-12181,ELBA-2024-12180,ELBA-2024-12183,ELBA-2024-3091,ELBA-2024-12184,ELBA-2024-18286,ELBA-2024-12186,ELBA-2024-19019,ELBA-2024-12621,ELBA-2024-12638,ELBA-2024-3179,ELBA-2024-3174,ELBA-2024-3173,ELBA-2024-3052,ELBA-2024-3183,ELBA-2024-3182,ELBA-2024-4263,ELBA-2024-20132,ELBA-2024-3181,ELBA-2024-3180,ELBA-2024-8861,ELBA-2024-4266,ELBA-2024-8866,ELBA-2024-0901,ELBA-2024-5915,ELBA-2024-0902,ELBA-2024-0111,ELBA-2024-3189,ELBA-2024-25147,ELBA-2024-3188,ELBA-2024-26356,ELBA-2024-3187,ELBA-2024-28659,ELBA-2024-3186,ELBA-2024-3185,ELBA-2024-23535,ELBA-2024-3194,ELBA-2024-3192,ELBA-2024-18620,ELBA-2024-3191,ELBA-2024-3190,ELBA-2024-29192,ELBA-2024-27077,ELBA-2024-24360,ELBA-2024-20311,ELBA-2024-23264,ELBA-2021-1871,ELBA-2024-5736,ELBA-2024-12379,ELBA-2024-3206,ELBA-2024-3204,ELBA-2024-28950,ELBA-2024-12381,ELBA-2024-12383,ELBA-2024-12269,ELBA-2022-9981,ELBA-2022-9982,ELBA-2021-14137,ELBA-2024-5834,ELBA-2024-12725,ELBA-2024-5292,ELBA-2023-2886,ELBA-2024-22087,ELBA-2021-14267,ELBA-2024-12166,ELBA-2024-12168,ELBA-2024-12720,ELBA-2024-12459,ELBA-2024-26182,ELBA-2024-3238,ELBA-2024-3237,ELBA-2024-3358,ELBA-2024-3236,ELBA-2024-3234,ELBA-2024-3231,ELBA-2024-3230,ELBA-2024-6980,ELBA-2024-6982,ELBA-2024-6981,ELBA-2024-6984,ELBA-2024-6983,ELBA-2023-28942,ELBA-2024-6985,ELBA-2024-6988,ELBA-2024-12572,ELBA-2024-12450,ELBA-2024-8805,ELBA-2024-12211,ELBA-2024-12453,ELBA-2024-12210,ELBA-2024-12455,ELBA-2024-12333,ELBA-2024-1739,ELBA-2024-12335,ELBA-2024-0899,ELBA-2024-0898,ELBA-2024-28114,ELBA-2024-3122,ELBA-2024-3000,ELBA-2023-28938,ELBA-2024-5301,ELBA-2024-5307,ELBA-2024-5308,ELBA-2024-12586,ELBA-2024-3219,ELBA-2024-3218,ELBA-2024-3215,ELBA-2021-15676,ELBA-2024-3213,ELBA-2024-3212,ELBA-2024-22836,ELBA-2024-3210,ELBA-2024-24105,ELBA-2024-23369,ELBA-2024-12231,ELBA-2024-23939,ELBA-2024-6966,ELBA-2021-16092,ELBA-2024-12477,ELBA-2024-12476,ELBA-2024-1604,ELBA-2024-1603,ELBA-2024-1602,ELBA-2024-3228,ELBA-2024-27285,ELBA-2024-3226,ELBA-2024-3224,ELBA-2024-12808,ELBA-2024-3223,ELBA-2024-20547,ELBA-2024-3222,ELBA-2024-3221,ELBA-2024-25664,ELBA-2024-3220,ELBA-2024-25425,ELBA-2024-19432,ELBA-2024-6970,ELBA-2024-12482,ELBA-2024-6974,ELBA-2024-12242,ELBA-2024-6977,ELBA-2024-12241,ELBA-2024-6976,ELBA-2024-12244,ELBA-2024-1609,ELBA-2024-6978,ELBA-2024-12487,ELBA-2024-1606,ELBA-2024-1605",ACTIVE,Tue Nov 12 09:49:28 UTC 2024
CompA,rapid7idr_filebeat_filesystem,-,DTP_demo_lifecycle,Production,OCI_COMPUTE,ORACLE_LINUX_8,YES,0,-,YES,0,-,ACTIVE,Tue Nov 12 09:49:22 UTC 2024
CompA,Filebeat-testing,TEST-GROUP-2,-,-,OCI_COMPUTE,ORACLE_LINUX_8,NO,16,"ELSA-2023-12853,ELSA-2023-12872,ELSA-2023-12213,ELSA-2022-9234,ELSA-2022-9258,ELSA-2021-9280,ELSA-2021-9151,ELSA-2021-9560,ELSA-2021-9561,ELSA-2021-9344,ELSA-2021-9632,ELSA-2022-9243,ELSA-2022-9683,ELSA-2024-12786,ELSA-2024-12440,ELSA-2024-12056",NO,20,"ELBA-2023-12366,ELBA-2022-10057,ELBA-2022-9166,ELBA-2024-12708,ELBA-2022-9124,ELBA-2022-9113,ELBA-2021-9091,ELBA-2022-9214,ELBA-2021-9092,ELBA-2022-9415,ELBA-2021-9620,ELBA-2020-6016,ELBA-2022-9581,ELBA-2020-6015,ELBA-2021-9134,ELBA-2022-9296,ELBA-2020-6011,ELBA-2020-6014,ELBA-2024-12057,ELBA-2023-12569",OFFLINE,Mon Oct 28 14:45:20 UTC 2024
CompB,instance-20240223-2239,-,DTP_demo_lifecycle,Production,OCI_COMPUTE,ORACLE_LINUX_8,YES,0,-,YES,0,-,ACTIVE,Tue Nov 12 09:49:03 UTC 2024
CompB,RocketChat,-,DTP_demo_lifecycle,Development,OCI_COMPUTE,ORACLE_LINUX_8,YES,0,-,YES,0,ELBA-2023-2886,OFFLINE,Tue Nov 05 10:47:57 UTC 2024
CompC,NewFull,-,DTP_demo_lifecycle,Development,OCI_COMPUTE,ORACLE_LINUX_8,YES,0,ELSA-2024-2084,YES,0,ELBA-2023-2886,ACTIVE,Tue Nov 12 09:50:57 UTC 2024
CompC,GM_Compute,oracle-linux-8-x86_64-grp,-,-,OCI_COMPUTE,ORACLE_LINUX_8,NO,5,"ELSA-2024-8860,ELSA-2024-8856,ELSA-2024-8846,ELSA-2024-12797,ELSA-2024-8831",NO,25,"ELBA-2021-14082,ELBA-2021-16045,ELBA-2021-16145,ELBA-2022-9981,ELBA-2021-15676,ELBA-2022-9982,ELBA-2022-7600,ELBA-2024-8841,ELBA-2024-8861,ELBA-2024-8866,ELBA-2021-14137,ELBA-2023-28942,ELBA-2024-8805,ELBA-2021-16092,ELBA-2024-8829,ELBA-2021-16030,ELBA-2021-16036,ELBA-2024-12808,ELBA-2024-28950,ELBA-2024-28659,ELBA-2023-28938,ELBA-2024-8855,ELBA-2024-8854,ELBA-2021-14267,ELBA-2024-29192",ACTIVE,Tue Nov 12 09:50:50 UTC 2024
